,feature,importance
488,FP_0488,0.00012915289011919021
1998,FP_1998,0.00012905931233323214
1741,FP_1741,0.00012897895012923424
692,FP_0692,0.00012878788572628092
2026,FP_2026,0.00012871116054746708
1468,FP_1468,0.0001286097230144286
640,FP_0640,0.0001284841061525022
1892,FP_1892,0.00012829836212882015
1791,FP_1791,0.00012827676255485095
734,FP_0734,0.0001281477893788972
1256,FP_1256,0.0001281036152616202
1896,FP_1896,0.00012753166302941426
225,FP_0225,0.00012744784826863387
1119,FP_1119,0.00012734934102294113
49,FP_0049,0.00012726506278688986
1348,FP_1348,0.00012714270455160785
541,FP_0541,0.0001270188889420054
379,FP_0379,0.00012680904645524354
844,FP_0844,0.00012657522165729677
1200,FP_1200,0.00012646981594649506
950,FP_0950,0.0001264339062912693
1847,FP_1847,0.0001262669691045767
1692,FP_1692,0.00012602602848986574
69,FP_0069,0.00012593410801500597
1499,FP_1499,0.0001258972905535611
1966,FP_1966,0.0001257862982933436
1167,FP_1167,0.0001254179714902548
783,FP_0783,0.000125395651525272
810,FP_0810,0.00012513101112561132
758,FP_0758,0.00012500469072878432
970,FP_0970,0.000124934238045553
1005,FP_1005,0.0001249336555861599
558,FP_0558,0.00012488450071905215
1978,FP_1978,0.00012468400845741328
1230,FP_1230,0.0001242010453510284
1571,FP_1571,0.00012398453308911
333,FP_0333,0.00012395456696375176
190,FP_0190,0.00012345697136225545
1972,FP_1972,0.00012334451497854695
1818,FP_1818,0.00012333089203769046
1851,FP_1851,0.00012330084869796752
1706,FP_1706,0.00012293371592382785
2009,FP_2009,0.00012271366672811726
1618,FP_1618,0.00012240288408992448
2017,FP_2017,0.0001222864325423539
170,FP_0170,0.00012107922173368549
880,FP_0880,0.00012092118878934732
99,FP_0099,0.00012066855550253036
1456,FP_1456,0.00012031725709635882
989,FP_0989,0.00012017766492927189
1731,FP_1731,0.00011970406757339862
74,FP_0074,0.00011967315249896833
1620,FP_1620,0.00011966491632885502
653,FP_0653,0.0001196562311781533
587,FP_0587,0.00011958982273507202
1187,FP_1187,0.00011909977090017863
996,FP_0996,0.00011905872068624564
1149,FP_1149,0.00011894227079177635
552,FP_0552,0.0001188241925772648
83,FP_0083,0.00011878263753145677
689,FP_0689,0.00011868880168039146
1134,FP_1134,0.00011864867508989809
265,FP_0265,0.00011841844996093488
1170,FP_1170,0.00011837621218030479
462,FP_0462,0.00011825829042351715
1192,FP_1192,0.00011818043069419644
71,FP_0071,0.00011813661171141328
335,FP_0335,0.00011813216151989751
1328,FP_1328,0.00011810467963010686
11,FP_0011,0.00011771037021437647
700,FP_0700,0.00011753834969884287
1420,FP_1420,0.00011750310095775574
782,FP_0782,0.00011746447047574038
768,FP_0768,0.00011739103472327215
1381,FP_1381,0.00011720435079581183
288,FP_0288,0.00011696373974409492
905,FP_0905,0.0001164608602904154
428,FP_0428,0.00011639820320844984
115,FP_0115,0.00011637694937962403
491,FP_0491,0.0001163184266097411
1578,FP_1578,0.00011590932419605435
102,FP_0102,0.00011546863930086927
1929,FP_1929,0.00011544532799707511
1215,FP_1215,0.00011516076500028139
1283,FP_1283,0.00011491487594778603
1150,FP_1150,0.00011466987175214861
995,FP_0995,0.0001143447942906915
2021,FP_2021,0.00011423382809685067
1407,FP_1407,0.00011412447920437272
1616,FP_1616,0.0001140276356577079
1859,FP_1859,0.00011383002220499934
